s_title,s_release,s_episodes,s_rating
Breaking Bad,2008–2013,62 eps,TV-MA
Planet Earth II,2016,6 eps,TV-G
Planet Earth,2006,11 eps,TV-PG
Band of Brothers,2001,10 eps,TV-MA
Chernobyl,2019,5 eps,TV-MA
The Wire,2002–2008,60 eps,TV-MA
Avatar: The Last Airbender,2005–2008,62 eps,TV-Y7-FV
The Sopranos,1999–2007,86 eps,TV-MA
Blue Planet II,2017,7 eps,TV-G
Cosmos: A Spacetime Odyssey,2014,13 eps,TV-PG
Cosmos,1980,13 eps,TV-PG
Our Planet,2019–2023,12 eps,TV-PG
Game of Thrones,2011–2019,74 eps,TV-MA
Bluey,2018– ,195 eps,TV-Y
The World at War,1973–1974,26 eps,TV-PG
Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14
Attack on Titan,2013–2023,98 eps,TV-MA
Life,2009,11 eps,TV-G
The Last Dance,2020,10 eps,TV-MA
The Twilight Zone,1959–1964,156 eps,TV-PG
The Vietnam War,2017,10 eps,TV-MA
Rick and Morty,2013– ,85 eps,TV-MA
Sherlock,2010–2017,15 eps,TV-14
Batman: The Animated Series,1992–1995,85 eps,TV-PG
Better Call Saul,2015–2022,63 eps,TV-MA
